location	word	transcription
Aalsmeer NH	bijten	baitə
Aalsmeer NH	binden	bɪndə
Aalsmeer NH	blazen	bleizə
Aalsmeer NH	blijven	blaiʋə
Aalsmeer NH	bloeden	blujə
Aalsmeer NH	bloeien	
Aalsmeer NH	blozen	blouzə
Aalsmeer NH	boren	borə
Aalsmeer NH	bouwen	bauwə
Aalsmeer NH	braden	brajə
Aalsmeer NH	branden	brandə
Aalsmeer NH	breien	brɒjə
Aalsmeer NH	brengen	brɛŋə
Aalsmeer NH	buigen	bʌɥɣə
Aalsmeer NH	dansen	dɒsə
Aalsmeer NH	denken	dɛŋkə
Aalsmeer NH	dienen	dinə
Aalsmeer NH	dooien	dojə
Aalsmeer NH	dopen	doupə
Aalsmeer NH	dorsen	dɔɼə
Aalsmeer NH	draaien	drɒjə
Aalsmeer NH	dragen	draɣə
Aalsmeer NH	dreigen	draiɣə
Aalsmeer NH	drinken	drɪŋkə
Aalsmeer NH	dromen	droumə
Aalsmeer NH	durven	dorəʋə
Aalsmeer NH	duwen	dauwə
Aalsmeer NH	eten	ʔeitə
Aalsmeer NH	gaan	xæn
Aalsmeer NH	gapen	xapə
Aalsmeer NH	gebruiken	xəbrʌɥkə
Aalsmeer NH	geloven	louwə
Aalsmeer NH	geraken	rakə
Aalsmeer NH	geven	xeiʋə
Aalsmeer NH	halen	ɦalə
Aalsmeer NH	hangen	ɦaŋə
Aalsmeer NH	heffen	ɦɛfə
Aalsmeer NH	helpen	ɦɛləpə
Aalsmeer NH	heten	ɦeitə
Aalsmeer NH	hoesten	ɦustə
Aalsmeer NH	horen	ɦorə
Aalsmeer NH	houden	ɦauwə
Aalsmeer NH	jagen	jaɣə
Aalsmeer NH	jeuken	jokə
Aalsmeer NH	kammen (2)	kamə
Aalsmeer NH	kennen	kɛnə
Aalsmeer NH	keuren	kørə
Aalsmeer NH	kiezen	kizə
Aalsmeer NH	kijken	kaikə
Aalsmeer NH	kloppen (1)	klɔpə
Aalsmeer NH	kneden	knejə
Aalsmeer NH	koken	koukə
Aalsmeer NH	komen	kɔmə
Aalsmeer NH	kopen	koupə
Aalsmeer NH	kraken	krakə
Aalsmeer NH	krijgen	kraiɣə
Aalsmeer NH	krimpen	krɪmpə
Aalsmeer NH	kruipen	krʌɥpə
Aalsmeer NH	lachen	lɒxə
Aalsmeer NH	laten	leitə
Aalsmeer NH	leggen	lɛɣə
Aalsmeer NH	leren	lerə
Aalsmeer NH	leunen	løɥnə
Aalsmeer NH	lezen	leizə
Aalsmeer NH	liggen	lɛɣə
Aalsmeer NH	likken	lɪkə
Aalsmeer NH	lopen	loupə
Aalsmeer NH	luiden	lʌɥjə
Aalsmeer NH	luisteren	lʌɥstərə
Aalsmeer NH	maken	makə
Aalsmeer NH	menen	meinə
Aalsmeer NH	metselen	mɛsələ
Aalsmeer NH	missen	mɪsə
Aalsmeer NH	moeten	mutə
Aalsmeer NH	mogen	maɣə
Aalsmeer NH	noemen	numə
Aalsmeer NH	pellen	pɛlə
Aalsmeer NH	piepen	pipə
Aalsmeer NH	proeven	pruwə
Aalsmeer NH	raden	rɒjə
Aalsmeer NH	redden	rɛdə
Aalsmeer NH	rekken	rɛkə
Aalsmeer NH	rijden	raijə
Aalsmeer NH	roepen	rupə
Aalsmeer NH	roeren	rurə
Aalsmeer NH	ruiken	rʌɥkə
Aalsmeer NH	schaven	sxaʋə
Aalsmeer NH	scheiden	sxaijə
Aalsmeer NH	scheppen	sxɛpə
Aalsmeer NH	scheren	sxerə
Aalsmeer NH	schieten	sxitə
Aalsmeer NH	schrijven	sxraiwə
Aalsmeer NH	schudden	sxodə
Aalsmeer NH	schuiven	sxaiwə
Aalsmeer NH	schuren	sxʏrə
Aalsmeer NH	slaan	slæn
Aalsmeer NH	slijpen	slaipə
Aalsmeer NH	sluiten	slʌɥtə
Aalsmeer NH	smelten	smɛltə
Aalsmeer NH	smeren	smerə
Aalsmeer NH	sneeuwen	snʏwə
Aalsmeer NH	slapen	sleipə
Aalsmeer NH	spannen	spanə
Aalsmeer NH	sparen	sparə
Aalsmeer NH	spartelen	spartələ
Aalsmeer NH	spelen	spølə
Aalsmeer NH	spreken	spreikə
Aalsmeer NH	springen	sprɪŋə
Aalsmeer NH	spuiten	spʌɥtə
Aalsmeer NH	staan	stæn
Aalsmeer NH	stampen	stampə
Aalsmeer NH	steken	steikə
Aalsmeer NH	stelen	stelə
Aalsmeer NH	sterven	storəʋə
Aalsmeer NH	strooien	strojə
Aalsmeer NH	sturen (zenden)	stirə
Aalsmeer NH	tellen	tɛlə
Aalsmeer NH	temmen	
Aalsmeer NH	timmeren	tɪmərə
Aalsmeer NH	treffen	trɛfə
Aalsmeer NH	trouwen	trauwə
Aalsmeer NH	vallen	ʋɒlə
Aalsmeer NH	vangen	fɒŋə
Aalsmeer NH	varen	farə
Aalsmeer NH	vechten	fɛxtə
Aalsmeer NH	vieren	firə
Aalsmeer NH	vinden	fɪndə
Aalsmeer NH	vliegen	fliɣə
Aalsmeer NH	voegen	fuɣə
Aalsmeer NH	voelen	ʋulə
Aalsmeer NH	volgen	fɔləɣə
Aalsmeer NH	vragen	fraɣə
Aalsmeer NH	vriezen	frizə
Aalsmeer NH	vrijen	fraijə
Aalsmeer NH	wachten	wɒxtə
Aalsmeer NH	wassen	wasə
Aalsmeer NH	wegen (2)	weiɣə
Aalsmeer NH	weken	weikə
Aalsmeer NH	wensen	wɛsə
Aalsmeer NH	werken	wɛrəkə
Aalsmeer NH	weten	weitə
Aalsmeer NH	wieden	waijə
Aalsmeer NH	willen	wɪlə
Aalsmeer NH	winnen	ʋɪnə
Aalsmeer NH	wippen	ʋøpə
Aalsmeer NH	wonen	ʋøɥnə
Aalsmeer NH	worden	ʋɔrə
Aalsmeer NH	wrijven	fraiwə
Aalsmeer NH	zeggen	zɛɣə
Aalsmeer NH	zetten	zɛtə
Aalsmeer NH	zien	zin
Aalsmeer NH	zuigen	zʌɥɣə
Aalsmeer NH	zitten	zɪtə
Aalsmeer NH	zoeken	zukə
Aalsmeer NH	zorgen	zørəɣə
Aalsmeer NH	zouten	zautə
Aalsmeer NH	zuchten	zoxtə
Aalsmeer NH	zwellen	zwɛlə
Aalsmeer NH	zwemmen	zwɛmə
Aalsmeer NH	geweest	xəweist
Aalsmeer NH	zijn	weizə
Aalsmeer NH	gehad	xəɦɒt
Aalsmeer NH	hebben	
Aalsmeer NH	doen	dun
Aalsmeer NH	kloppen (2)	klɔpə
Aalsmeer NH	leven	leiwə
Aalsmeer NH	breken	breikə
Aalsmeer NH	zwijgen	zwaiɣə
Aalsmeer NH	af	ʔɔf
Aalsmeer NH	acht	ʔɒxt
Aalsmeer NH	achter	ʔɒxtər
Aalsmeer NH	anders	ʔarə
Aalsmeer NH	best (bijw)	bɛst
Aalsmeer NH	bij (vz)	bai
Aalsmeer NH	boven	bouwə
Aalsmeer NH	buiten	bʌɥtə
Aalsmeer NH	derde	dʌrdə
Aalsmeer NH	dinsdag	dɪnzdax
Aalsmeer NH	donderdag	dɔndərdax
Aalsmeer NH	door	dør
Aalsmeer NH	drie	dri
Aalsmeer NH	duizend	dozənt
Aalsmeer NH	elf	ʔɛləf
Aalsmeer NH	gaarne	xrax
Aalsmeer NH	genoeg	xənoyx
Aalsmeer NH	gisteren	xøstərə
Aalsmeer NH	hier	ɦir
Aalsmeer NH	maandag	mandax
Aalsmeer NH	maart	mært
Aalsmeer NH	morgen (demain)	mørəxə
Aalsmeer NH	negen	neiɣə
Aalsmeer NH	nog	nɔx
Aalsmeer NH	noorden	nordə
Aalsmeer NH	nu	nʏ
Aalsmeer NH	om	ʔɔm
Aalsmeer NH	ons	ʔɔs
Aalsmeer NH	ook	ʔɔk
Aalsmeer NH	oosten	ʔostə
Aalsmeer NH	op	ʔɔp
Aalsmeer NH	over	ʔɔuwər
Aalsmeer NH	tegen	tøɥɣə
Aalsmeer NH	tien	tin
Aalsmeer NH	tussen	tosə
Aalsmeer NH	twaalf	twaləf
Aalsmeer NH	twee	twi
Aalsmeer NH	tweede	twidə
Aalsmeer NH	twintig	twɪntəx
Aalsmeer NH	veertig	fertəx
Aalsmeer NH	vier	fir
Aalsmeer NH	vijf	faif
Aalsmeer NH	vijftig	faiftəx
Aalsmeer NH	voor	før
Aalsmeer NH	vrijdag	fraidax
Aalsmeer NH	weer	wer
Aalsmeer NH	weg	wɛx
Aalsmeer NH	woensdag	wøɥnəzdax
Aalsmeer NH	zaterdag	zatərdax
Aalsmeer NH	zelf	zɛləf
Aalsmeer NH	zes	zɛs
Aalsmeer NH	zeven	zøɥwə
Aalsmeer NH	zeventig	zøɥwəntəx
Aalsmeer NH	zondag	zøndax
Aalsmeer NH	zonder	zɔndər
Appelscha Fr - Appelskea Fr	aarde	iədə
Appelscha Fr - Appelskea Fr	adem	ʔɑdəm
Appelscha Fr - Appelskea Fr	appels	ʔɑpɵɫs
Appelscha Fr - Appelskea Fr	armen	jɛɾəms
Appelscha Fr - Appelskea Fr	auto's	ɑutos
Appelscha Fr - Appelskea Fr	baarden	bɑdn
Appelscha Fr - Appelskea Fr	bedden	bɛdn
Appelscha Fr - Appelskea Fr	benen	
Appelscha Fr - Appelskea Fr	beenderen	
Appelscha Fr - Appelskea Fr	beren (wild)	bɪrɵn
Appelscha Fr - Appelskea Fr	beurzen	
Appelscha Fr - Appelskea Fr	bezems	biəzəms
Appelscha Fr - Appelskea Fr	bier	biər
Appelscha Fr - Appelskea Fr	bijen	bɛin
Appelscha Fr - Appelskea Fr	bladen	blɛdn
Appelscha Fr - Appelskea Fr	bladeren	blɛdn
Appelscha Fr - Appelskea Fr	bokken	
Appelscha Fr - Appelskea Fr	bomen	bjɛm
Appelscha Fr - Appelskea Fr	bonen	bjɛn
Appelscha Fr - Appelskea Fr	boter	butəɾ
Appelscha Fr - Appelskea Fr	broeken	bɾʉkŋ
Appelscha Fr - Appelskea Fr	broers	bɾuəs
Appelscha Fr - Appelskea Fr	broden	brɪdn
Appelscha Fr - Appelskea Fr	dagen	daɡŋ
Appelscha Fr - Appelskea Fr	daken	dʌkŋ
Appelscha Fr - Appelskea Fr	damp	dʌmp
Appelscha Fr - Appelskea Fr	darmen	tɛrms
Appelscha Fr - Appelskea Fr	deeg	deix
Appelscha Fr - Appelskea Fr	deuren	dvɑɾn
Appelscha Fr - Appelskea Fr	dingen	dɪŋ
Appelscha Fr - Appelskea Fr	dieven	diəvm
Appelscha Fr - Appelskea Fr	dochters	
Appelscha Fr - Appelskea Fr	doeken	dukŋ
Appelscha Fr - Appelskea Fr	donder	dɔndər
Appelscha Fr - Appelskea Fr	dorst	tʊəst
Appelscha Fr - Appelskea Fr	draden	trɪdn
Appelscha Fr - Appelskea Fr	duiven	doudn
Appelscha Fr - Appelskea Fr	dweilen	dʋɛɪlən
Appelscha Fr - Appelskea Fr	eeuwen	ʔewən
Appelscha Fr - Appelskea Fr	eieren	ʔɑin
Appelscha Fr - Appelskea Fr	einde	ɛində
Appelscha Fr - Appelskea Fr	engelen	ɪŋəls
Appelscha Fr - Appelskea Fr	ezels	ezɫs
Appelscha Fr - Appelskea Fr	flessen	flɛsn
Appelscha Fr - Appelskea Fr	fruit	frœyt
Appelscha Fr - Appelskea Fr	gal	xɒɫ
Appelscha Fr - Appelskea Fr	ganzen	xɒzn
Appelscha Fr - Appelskea Fr	geld	jɪlt
Appelscha Fr - Appelskea Fr	gerst	xɑst
Appelscha Fr - Appelskea Fr	glazen	xlɛzɵn
Appelscha Fr - Appelskea Fr	god	xɒt
Appelscha Fr - Appelskea Fr	goud	xɒut
Appelscha Fr - Appelskea Fr	graven	xɾɑʋɵn
Appelscha Fr - Appelskea Fr	gras	xjɛs
Appelscha Fr - Appelskea Fr	haken	ɦɛkŋ
Appelscha Fr - Appelskea Fr	hanen	ʋjɑn
Appelscha Fr - Appelskea Fr	haast	
Appelscha Fr - Appelskea Fr	handen	ɦɒn
Appelscha Fr - Appelskea Fr	haver	jɑuwər
Appelscha Fr - Appelskea Fr	heren	ɦɪərn
Appelscha Fr - Appelskea Fr	hemden	ɦɪm
Appelscha Fr - Appelskea Fr	hemel	ɦeiməɫ
Appelscha Fr - Appelskea Fr	hengsten	ɦɪŋsn
Appelscha Fr - Appelskea Fr	hoeden	ɦɔdn
Appelscha Fr - Appelskea Fr	holen	ɦɔəɫn
Appelscha Fr - Appelskea Fr	honden	ɦʊn
Appelscha Fr - Appelskea Fr	honger	ɦɔŋər
Appelscha Fr - Appelskea Fr	hooi	ɦɪə
Appelscha Fr - Appelskea Fr	hopen	
Appelscha Fr - Appelskea Fr	hoop (espoir)	ɦoup
Appelscha Fr - Appelskea Fr	horens	ʋjɑn
Appelscha Fr - Appelskea Fr	huizen	ɦuzn
Appelscha Fr - Appelskea Fr	jongen	jɔŋ
Appelscha Fr - Appelskea Fr	kaas	tsis
Appelscha Fr - Appelskea Fr	kaf	kɑf
Appelscha Fr - Appelskea Fr	kalveren	kjɛln
Appelscha Fr - Appelskea Fr	kammen (1)	kɑm
Appelscha Fr - Appelskea Fr	kamers	kɪəməs
Appelscha Fr - Appelskea Fr	kanten	kɒntɵn
Appelscha Fr - Appelskea Fr	karren	kɑɾɵn
Appelscha Fr - Appelskea Fr	kasten	kɒstn
Appelscha Fr - Appelskea Fr	katten	kɒtn
Appelscha Fr - Appelskea Fr	kermis	
Appelscha Fr - Appelskea Fr	kersen	kjɛsn
Appelscha Fr - Appelskea Fr	kervel	
Appelscha Fr - Appelskea Fr	kinderen	
Appelscha Fr - Appelskea Fr	klaver	kɫɑʋər
Appelscha Fr - Appelskea Fr	kleden	kledn
Appelscha Fr - Appelskea Fr	klederen	klɪən
Appelscha Fr - Appelskea Fr	knechten	
Appelscha Fr - Appelskea Fr	knieen	knɪbəɫs
Appelscha Fr - Appelskea Fr	koeien	kɛi
Appelscha Fr - Appelskea Fr	kommen	kum
Appelscha Fr - Appelskea Fr	konijnen	knin
Appelscha Fr - Appelskea Fr	koorts	kɔəts
Appelscha Fr - Appelskea Fr	koper	kopəɾ
Appelscha Fr - Appelskea Fr	kousen	
Appelscha Fr - Appelskea Fr	kramp	kɾɑmp
Appelscha Fr - Appelskea Fr	lammeren	ɫɑmɵn
Appelscha Fr - Appelskea Fr	lampen	lampɵn
Appelscha Fr - Appelskea Fr	latten	lɒtn
Appelscha Fr - Appelskea Fr	leem	liəm
Appelscha Fr - Appelskea Fr	leugens	løɡŋs
Appelscha Fr - Appelskea Fr	leden	leidn
Appelscha Fr - Appelskea Fr	liederen	liədn
Appelscha Fr - Appelskea Fr	lijken	ɫikŋ
Appelscha Fr - Appelskea Fr	lucht	ɫɵxt
Appelscha Fr - Appelskea Fr	magen	mɑɣɵn
Appelscha Fr - Appelskea Fr	maanden	mɑndn
Appelscha Fr - Appelskea Fr	maten	mɑtɵn
Appelscha Fr - Appelskea Fr	marmer	marmər
Appelscha Fr - Appelskea Fr	mazelen	
Appelscha Fr - Appelskea Fr	mei	mɑijə
