	als_o	als	bij_o	bij	buiten_o	buiten	door_o	door	glas_o	glas	goed_o	goed	hem_o	hem	hij_o	hij	hoek_o	hoek	houden_o	houden	huizen_o	huizen	in_o	in	is_o	is	juist_o	juist	klein_o	klein	korte_o	korte	krijgen	krijgen.1	later_o	later	loopt_o	loopt	lopen_o	lopen	met_o	met	naar_o	naar	niet_o	niet	nu_o	nu	om_o	om	ook_o	ook	op_o	op	ruit_o	ruit	steen_o	steen	stil_o	stil	straat_o	straat	straten_o	straten	tijd_o	tijd	vraagt_o	vraagt	wil_o	wil	ziet_o	ziet
diareg_jv_Kampen			bi	bi	bytn	byʔn			xlɑs	xlɑs	xut	xut	həm	əm					hɒln	hɔln	hyzə	hyzn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kɒʀtə	kotə	kʀiɡŋ	kriŋ	latəʀ	latər	lœp	lœp	lopm	loʔm	mɛt	mɛ	nə	na	nit	nit			ɔm	ʏm	ok	ok	ɔp	op	ʀytə	rytə	stenə	stenə	stɪl	stɪl	stʀʌtə	strɑtə			tit	tit	fʀœx	frœx	ʋɪl	ʋɪl	sit	sit
diareg_jv_Koekange	ɑlz	ɑz	bei	be	bytn	byʔn	dʏr	dœ	xlas	xlas			əm	əm	he	e	huk	huk	hɒln	hɔln	hyzn	hyzn			ɪs	ɪs			klɛin	klɛin	kɒrtə	kotə	kriɡŋ	kriŋ	latər	latr	kʏm		lopm	loʔm	mɛt	mɪ	nə	nɔ	nit	nit			œm	ʏm			ɔp	op	rutə	rudə	sten	stin	stɪl	stɪlə	strʌtə	strɔtə			tit	tit	frœx	frœx	wɪl	ʋɪl	sɛt	sʏt
diareg_jv_Laren	as	as	bi	bi	bytn	byʔn	dʏr	dœ	xlas	xlas			əm	əm	ə	ə	hok	hok	hɒln	hɔln	hyzə	hyzə	ɪn	ɪn	ɪs	ɪs			klɛin	klɛin	kɒrtə	kotə	kriɡŋ		latər	latə	lœpt	lœp	lɔpm	lɔʔm	mɛt	mɛ	nə	na	ni	ni	nu	no	œm	ʏm	ok	ok	ɔp	op	rutə	rutə	sten	sten	stɪl	stɪl	strʌtə	strɑtə	strʌtə		tit	tit	frœx	frœx	ʋɪl	ʋɪl	sœt	zʏt
diareg_jv_Lemmer	ɑt	ɑt	bai	bɛi	bytn	byʔn	trɔ	trox	ɡlɛs	glɛs	ɡuj	gui	əm	əm	hɛi	hɛi	hukə	hukə	hɒdn	hɑdn	hyzn	hyzn	in	in	ɪs	ɪs	krɛk	krɛg	lits	lits	kœtə	kœdə	kræiən	krɛiən	lɛtər	lɛtə			rɔnn	ron	mai	mɛi	nə	nɛi	nɛt	nɛt			ɔm	om			ɔp	op	ram		stɪn	stiən	stɪl	stɪl	strɪtə	strɪtə			tiət	tiət	freixət	freɣət	ʋɔl	ʋol	ʃʏt	ʃot
diareg_jv_Nijverdal	ʌs	ɑs	bi	bi	bytn	byʔn			xlɑs	xlɑs			əm	əm	ə	ə	huk	huk	hɒln	hɔln	hyzə	hyzə	ɪn	ɪn	ɪs	ɪs	nɛt	nɛʔ	klɛin	klɛin			kriɡŋ	kriŋ	lʌtər	latə			lopm	lɔʔm	mɛt	mɛ	na	na	ni	ni	nu	nu					ɔp	op	rutə	rutə	stɪ	stɪn	stɪlə	stɪlə	strʌtə	strɔtə					frœx	frœx	ʋʏl	ʋɪl	zœt	zʏt
diareg_jv_Noordwolde			bei	bi	bytn	byʔn	dʏr	dœ	xlas	xlas	xʊt	xut	əm	əm			hukə	hukə	holn	hɔln	hysn	hysn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kɒrtə	kotə	kriɡŋ	kriŋ	lætər	lætr	lœp	lœp	loupm	loʔm	mɛt	mɛ	na	na	nit	nit		nɔu	ɔm	om	ok	ok	ɔp	op	rytə	rytə			stɪl	stɪl	strɑtə	stratə	strʌtn	straʔn	tit	tit	frʌxt	frœxt	wɪl	ʋɪl	sit	sit
diareg_jv_Ommen	ɑs	ɑz	bi	bi	bytn	byʔn	dʏr	dœ	xlas	xlas	xut	xud	əm	əm	ə	ə	huk	huk	hɒln	hɔldn	hyzn	hyzn			ɪs	ɪs	jyst	jys			kœrdə	kœdə	kriɡŋ	kriəŋ	latər	latə	kɔm		lopm	loʔm	mɛt	mɛ	na	na	ni	ni			ʏm	ʏm			ɔp	op	rutə	rut	sti	stin	stɪl	stɪl	strʌt	strɑt	strʌtn	strɑʔn	tit	tit	frʏx	vrœx	wɪl	ʋɪl	sœt	zʏt
diareg_jv_Onstwedde	as	az	bi	bi	butn	buʔn	dʏr	dœ	xlas	xlas	xɑud	xɔud	əm	əm	hɛi	hɛi	hɑukə	hɔukə	hɒdn	hɔldn	huzn	huzn	ɪn	in	ɪs	ɪs	jyst	jys	løcə	løtjə	kœrdə	kœdə	kriɡŋ	krigŋ	lɒtər	lɔtə	lɒp	lop	lʌupm	loʔm	mɛt	mɪ	nʊ	na	ni	ni	nɑu	no	ɔm	om			ɔp	op	rudə	rudə	stɑinə	stainə	stɪl	stɪl	strɔdə	strɔdə	strɔtn	strɔʔn	tit	tit	frɔxt	frɔxt	ʋɪl	ʋɪl	sœx	zʏx
diareg_jv_Roswinkel	ɑs	as	bi	bi	butn	buʔn	dʏr	dœ	xlas	xlas	xɑud	xɔud	hɛm	əm	ə	ə	hɑukə	hɔukə	hɒdn	hɔldn	huzn	huzn	ɪn	ɪn	ɪs	ɪs	jyst	jys	klɛin	klɛin	kœrdə	kœdə	kriɡŋ	krigŋ	lɒtər	lɔtr	lɒp	lop	loupm	loʔm	mɪt	mɪ	nɒ	nɔ	nit	nit	nɑu	nɔu	œm	ʏm	ok	ok	ɔp	op	rudə	rudə	stɑinə	stainə	stɪl	stɪl	strʌdə	strɑdə	strʌtn	strɑʔn	tit	tit	frax	frax	ʋɪl	ʋɪl	sʏx	sʏx
diareg_jv_Sexbierum	ʌs	ɑs	bai	bɛi	butə	butən	trɒ	tro	ɡlɛs	glɛs	ɡut	gut	əm	əm	hɛi	hɛi	huk	huk	hɑdn	hɑdn	hyzn	hyzən	in	in	ɪs	ɪs	krɛk	krɛʔ	lits	lits	kuɑtə	kʋatə	kræiən	krɛiən	lɛtər	lɛtə	rɪnt	rɪnt	rɪnn	rɛn	mɑ	mai	na	nai	nɛt	nɛt	nau	nɔu	ɔm	om	ɛk	ɛk	ɔp	op	ryt	ryt	stɪ	stiən	stɪl	stɪl	strɪtə	strɪtə	strɪtn	strɪʔn	tit	tit	freixət	freɣət	ʋɔl	ʋol	ʃʏd	sjʏt
diareg_jv_Sint-Annaparochie	ɑt	at	bɛi	bɛi	bytn	byʔn	dʏr	dœ	ɡlɑs	glas	ɡut	gut			i	i	huk	huk	hɑuən	hɔuən	hyzn	hyzən	ɪn	ɪn	ɪs	ɪs	krɛk	krɛg	klɑin	klɑin	kɒrthʏtsi				latər	latər	loup	lop			mɛt	mɛ	na	na	nit	nit			ɔm	om	ouk	ok	ɔp	op	ryt	ryt	stein	steən	stɪl	stɪl	dik	dik			tit	tiət	fraxt	fraxt	ʋɪl	ʋɪl	sit	siət
diareg_jv_Slochteren	ɑs	as	bi	bi	butn	buʔn	dʏr	dœ	xlas	xlas	xɑut	xɔud	hɒm	əm	hɛi	hɛi	hɑuk	hɔuk	hɒln	hɔln	huzn	huzən	ɪn	ɪn	ɪs	ɪs	jyst	jys	klɑin	klɑin	kœrtə	kœtə	kriɡŋ	krigŋ	lʊtər	lɔtə	loup	lop	loupm	loʔm	mɛt	mɛ	nə	nɔ	nɑit	nait	nɑu	nɔu	ɔm	om			ɔp	op	rut	rut	stɑin	stɔin	stɪl	stɪl	strʊt	strɔt	strʊtn	strɔʔn	tit	tit	frʊxt	frɔxt	ʋʏl	ʋɪl	sʏxt	sʏx
diareg_jv_Sneek	ɑs	ɑz	bai	bɛi	bytn	byʔn	dʏr	dœ	ɡlaz	glas	ɡut	gut	əm	əm	di	i	hukə	hukə	hɑudn	hɔudn	hyzn	hyzə			ɪs	ɪs	jyst	jyst			kɒrtə	kotə			latər	latə	loup	lop	lʌupm	loʔm	mɛt	mɛ	na	na	nit	nit					ouk	ok	ɔp	op	ryt	ryt	stin	stiən	stɪl	stɪl	strat	strat	stratn	straʔn	tit	tit	fraxt	fraxt	ʋy	ʋy	sit	siət
diareg_jv_Tilligte	as	as	bi	bi	butn	buʔn	dʏr	dœ	xlas	xlas	xʊd	xod	əm	əm	he	ə	hok	huk	ɒn	hɔln	hys	hys	ɪn	ɪn	ɪs	ɪs	jyst	jys	klɛin	klɛin	kɒrtə	kodə	kriɡŋ	kriŋ	latər	latə	lœp	lœp	lopm	lɔʔm	mɛt	mɛ	nə	na	nɪx	nɪx		nu					ɔp	op	rut	rut	stɪn	stɪn	rʏstəx		strʌt	strɑt	strʌtn	strɑʔn	tit	tit	frœx	frœx	ʋɪl	ʋɪl	sʏt	sʏt
diareg_jv_Veenwouden	ɑs	as	bi	bi	butn	buʔn	trʊ	tro	ɡlɛs	glɛs	ɡut	guət	əm	hɛm	i	i	hukə	hukə	hʌdn	hɑdn	huzn	huzn	ɪn	in	ɪs	ɪs	krɛkt	krɛkt	lits	lits	kuɑtskɒfkə		kræiən	krɛiə	lɛtər	lɛtər	rɪnt	rɪnt	rɪnn	rɪn	mɛ	mɛ	nə	na	nɛt	nɛt	nɑ	nɔu	ɔm	om			ɔp	op	ryt	ryt	stɪ	stiən	stɪl	stɪl	dik	dik			tit	tit	freixət	freɣət	sʌl		ʃʏxt	ʃox
diareg_jv_Workum	ɒt	ɑɾ	bai	bɛi	bytn	byʔn	trʏ	trœ	ɡlɛs	glɛs					ə	ə	hukə	hukə	hʌdn	hɑdn	hysn	hysn	in	in	ɪs	ɪs			lits	lits	kɒrtə	kortə	kræiə	krɛiən	lɛtər	lɛtər	rɪnt	rɪnʔ	rɪnn	rɪn	mai	mai	na	na	nɛt	nɛt	nɑu	nɔu					ɪn	op	ryt	ryt			stɪl	stɪl	strɪtə	strɪtə	strʏtn	strʏʔn	tit	tit	freixət	freɣət	ʋɔl	ʋol	ʃœt	ʃʏt
diareg_jv_Zwinderen	ʋənɪr		bai	bɛi	bytn	byʔn	dʏr	dœ	xlɑs	xlɑs					hɛi	hɛi	hɯk	huk	hɒln	hɔdn	huzn	husn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛd	klɛin	klɛin	kʌrtə	kotə			latər	latər	lœp	lœp	lopm	loʔm			nɑ	na	nit	nit			ɔm	ʏm			ɔp	op	rutə	rutə	stɪ	stin	rʏstəx		strʌt	strɑt	strʌtn	strɑʔn	tit	tit	frʌx	frɑx	ʋʏl	ʋɪl	sœt	sʏt
diareg_om_Appelscha	as	as	bɛi	bɛi	bytn	byʔn	dʏr	dœ	xlas	xlas	xut	xut	hɛm	əm	i	i	hukə	hukə	hɒln	hɔldn	hysn	hysn	ɪn	ɪn	ɪs	ɪs	krɛkt	krɛkt					kriɡŋ	krigŋ	lætər	latə			loupm	loʔm	mɛt	mɛʔ	nʌ	na	nit	nit	nɑu	nɔu					ɔp	op	ryt	ryt	stinə	stinə	stɪlə	stɪlə	strʌtə	strɑt		strɑtə			frʌxt	frɑxt	ʋɛl	ʋɪl	sit	sit
diareg_om_Dokkum	ɑt	at					dʊr	dor	ɡlɑs	glas	ɡut	gut			ər	ər	hukə	hukə	hɑudn	hɔudn					ɪs	ɪs	krɛk	krɛg	klɛin	klɛin	kɒrtə	kotə	kræiə	krɛiə	latər	latr	loupt	lop	lʌupən	loʔm	mɛd	mɛ			nit	ni							ɔp	op			stɪən	stɪən	stɪl	stɪl	strat	strat	stratn		tit	tit	fraxt	vraxt	sɪl	sɪl	sit	siət
diareg_om_Eelde	ɑz	ɑz	bi	bi	butn	buʔn			xlas	xlas	xɑut	xɔud	əm	əm	ə	ə	hɑuk	hɔuk	hʌll	hɑln	huzn	huzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɪʔ	klain	klɛin	kœrdə	kœdə	kriɡŋ	krigŋ	lɔtər	lɔdr	lɒp	lop			mɛt	mɛ	nə	nɔ	nait	nait	nɑu	nɔu			ouk	ok	ɔp	op	rut		stɑin	stain	stɪl	stɪl	strʊt	strɔt			tit	tit	frax	frax	ʋʏl	ʋɪl	sʏt	sʏt
diareg_om_Finsterwolde	az	as			butn	buʔn	dʏr	dœ	xlas	xlɑs	xɑut	xɔud	hɒm	əm	ɛ	hɛi	hɑukə	hɔukə	hʊdn	hɔdn	huzn	huzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛʔ	løcə	løʔjə			kriɡŋ	krigŋ	lʊtər	lɔtər	lɒp	lop	loupm	loʔm	mɛt	mɪ	nʊ	nɔ	nɑit	nait	nɒ	no	ɔm	om	ouk	ok	ɔp	op	rutə	rutə	stɑinə	stainə	stɪl	stɪl	strʊtə	strɔtə	strʊtn	strɔʔn			frɑxt	vraxt	ʋɪl	ʋɪl	sʏxt	sʏx
diareg_om_Grijpskerk	as	as	bɛi	bɛi	bytn	byʔn	dʏr	dœ	xlas	xlas	xud	xud	hɪm	ɛm	hɛi	hɛi		huʔŋ	pakŋ		hysn	hysn	in	in	ɪs	ɪs	krɛk	krɛʔ	klɛin	klen	kɒrtə	kodə	kriɡŋ	krigŋ	lɔtər	lɔtr	loupt	lop			mɛt	mɛ	nə	na	nit	nit	nau	nɔu					ɔp	op			sti	stin	stɪl	stɪl	strʊt	strɔt	strʊtn	strɔʔn	tit	tit	frʊxt	frɔxt	ʋʏl	ʋɪl	sɪxt	sɪx
diareg_om_Groenlo	ɑs	ɑs	bi	bi	butn	buʔn	dʏʀ	dœ	xlas	xlɑs	xud	xod	əm		i	i	hok	hok	hɒln	hɔln	hyzəʀ	hyzə	ɪn	ɪn	ɪs	ɪs	nɛt	nɛʔ	klɛin	klɛin	kɒʀtn	koʔn	kʀɪxən	krɪxən	latəʀ	latə	lœp	lœp	lopən	lopən	mɛt	mɛ	nə	na	neit	net	nɒ	no	ɔm	ʏm	ok	ok	ɔp	op	ʀutə	rutə	kɛi	kɛi	stɪlə	stɪlə	stʀʌtə	strɑtə	stʀʌtn	strɑʔn	tit	tit	fʀʏx	frœx	ʋʏl	ʋɪl	sœt	sʏt
diareg_om_Grolloo	ɑz	ɑz	bɛi	bɛi	butn	buʔn	dʏr	dœ	xlas	xlɑs	xud	ɣud			ə	ə	huk	huk	hɒln	hɔldn	husn	huzn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klen	kœrdə	kœdə			lʌtər	lɑtr	lɒp	lop	lopm	loʔm	mɛt	mɛ	ɛ	hɛn	nit	nit	nɑu	nɔu	œm	ʏm	ɤuk	ok	ɔp	op	rut	rut	sti	stin	stɪl	stɪl	strʌt	strɑt	strʌtn	strɑʔn	tit	tit	frax	vrax	wʏl	ʋɪl	zœt	zʏt
diareg_om_Grouw			bei	be	butn	buʔn			ɡlɛs	glɛs							hukə	hukə	hɒdn	hɑdn	hysn	hyzən	ɪn	in	ɪs	ɪs					kuɑtskɔfkə		kræiə	krɛiən	lɛtər	lɛtə	rɪnt	rɪnt	rɪnn	rɪn	ma	mɛ	nɑi	nai	nɛt	nɛt			ɔm	om	ɛk	ɛk	ɔp	op	ryt	ryt	stɪn	stɪən	stɪl	stɪl	strɪtə	strɪtə				skofkə	freixət	freɣət	zɪl	sɪl	ʃɔxt	ʃoxt
diareg_om_IJsselmuiden	ɑs	as	bei	be	bytn	byʔn	dʏʀ	dœ			xud	xud	əm	əm	i	i	huk	uk	hɒln	ɔln	hyzn	hyzn	ɪn	ɪn	ɪs	ɪs	jyst	jyst	klɛin	klɛin	kœʀtə	kœtə	kʀiɡŋ	kriŋ	latəʀ	latər	lœp	lop	lopm	loʔm	mɛt	mɛ	nɔ	nɔ	nit	nit	nɒu	nɔu	œm		ok	ok	ɔp	op	ʀytə	rytə	stɪ	stin	stɪl	stɪl	stʀɒtə	strɔtə			tit	tit	fʀœx	vrœx	ʋɪl	ʋɪl	sit	sit
diareg_om_Jubbega	ɑz	ɑs	bai	bai	butn	buʔn	trʊ	tro	ɡlæs	glɛs	ɡud	guət			hɛi	hɛi	hukə	hukə	hɒdn	hɔdn	huzn	huzn	ɪn	ɪn	ɪs	ɪs	krɛk	krɛg	lits	lits	kuɑtə	kʋatə	krai	krai	lɛtər	lɛtər	rɛnt		rɪnn	rɛn	mai	mɛi	na	hɛn	nɛt	nɛt	nɒu	no	ɔm	om	ɛk	ɛk	ɔp	op	ɡlas		stɛ	stɪən	stɪl	stɪl	dik	dik	strɪtə		tit	tit	freiɡət	fregət	ʋɔl	ʋɪl	ʒɔxt	ʃox
diareg_om_Kampen	ɑz	ɑs	bei	be	bytn	byʔn	dʏʀ	dœ	xlɑs	xlɑs	xut	xut	əm	əm	i	i	huk	uk	ɒln	ɔln	hyzn	yzn	ɪn	ɪn	ɪs	ɪs	jyst	jys	klɛin	klɛin	kɒʀtə	kotə	kʀiɡŋ		latəʀ	latər	lœp	lop	lopm	loʔm	mɛt	mɪ	nɔ	nɔ	nit	nit	nɒu	no	ʏm	ʏm	ok	ok	ɔp	op	ʀytə	rytə	kɛiə	kɛiə	stɪlə	stɪlə	stʀɒtə	strɔtə	stʀɒtn	strɔʔn	tit	tit	fʀœx	vrœx	ʋɪl	ʋɪl	sit	sit
diareg_om_Koekange	az	ɑz	bei	bɛi	bytn	byʔn	dʏr	dœ	xlas	xlas	xut	xud	əm	əm	i	i	hɯk	huk	hɒln	hɔldn	hyzn	hyzn	ɪn	ɪn	ɪs	ɪs	nɛt	nɛd	klɛin	klɛin	kɒrdə	kodə	kriɡŋ	krigŋ	lætər	latər	lʌp	lœp	lopm	loʔm	mɛt	mɛ	nɑ	na	nit	nit		nɔu	œm	ʏm		ok	ɔp	op	rudə	rudə	sti	stiən	stɪl	stɪl	strʌdə	strɑdə			tit	tit	frɑx	vrax	wɛl	ʋɪl	sɛt	sət
diareg_om_Laren	ɑs	as	bi	bi	bytn	byʔn	dʏr	dœ					həm	əm		ə					hyzə	hyzə	ɪn	ɪn	ɪs	ɪs	nɛt	nɛʔ				koʔn	kriɡŋ	krixən	dənʌ		lœp	lœp	lopm	loʔm	mɛt	mɪt	nɑ	na	nɪt	nɪʔ					ɤuk	ok	ɔp	op	rutə	rutə	kɛi	kɛi	stɪl	stɪl	strʌtə	strɑtə			zɛt	zɛt	frœx	frœx	ʋʏl	ʋʏl	sʏt	sʏt
diareg_om_Lemmer	ʋɑnɪr		bai	bɛi	bytn	byʔn	trʊ	tro	ɡlɛs	glɛs	ɡuj	gui	əm	əm	hɛi	hɛi	hukə	hukə	hɒdn	hɑdn	hyzn	hyzn	in	in	ɪs	ɪs	krɛk	krɛʔ	lits	lits	kœtə	kœtə			lɛtər	lɛtər	rɔnt	ront	rɔnn	ron	mai	mɛi	nɑi	nai	nɛt	nɛt	nɑu	nɔu	ɔm	om			ɔp	op	ryt	ryt	stɪ	stiən	stɪl	stɪl	strɪtə	strɪtə	strʏtn	strɪʔn	tit	tit	freiɡət	fregət	ʋɔl	ʋɪl	ʃʏt	ʃox
diareg_om_Nijverdal	ɑs	ɑs	bi	bi	bytn	byʔn	dʏr	dœ	xlɑs	xlɑs	xut	xut	əm	əm	hɛi	hɛi	huk	huk	hɒln	hɔln	hyzər	hyzə	ɪn	ɪn	ɪs	ɪs	jyst	jys	klɛin	klɛin	kɒrtn	koʔn	kriɡŋ	kriŋ	latər	latər	lœp	lop	lopm	loʔm	mɛt	mɛt	nɒ	nɔ	nit	nit		nu	œm	ʏm	ok	ok	ɔp	op	rutə	rutə	sten	stɪn	stɪlə	stɪlə	strʌtə	strɑtə			tit	tit	frœx	vrœx	ʋʏl	ʋɪl	sœt	sʏt
diareg_om_Noordwolde	œz	ɑz	bɛi	bɛi	bytn	byt	dʏr	dœ	xlas	xlɑs	xut	xut			i	ə	huk	huk	hɒln	hɔln	hyzn	hyzn	ɪn	ɪn	ɪzə	ɪs	krɛk	krɛg			kɒrdə	kodə	kriɡŋ	kriŋ	lætər	lætər	lop	lop	lopm	loʔm	mɛt	mɛ	nʌ	na	nit	nit	nau	nɔu	ɔm	om			ɔp	op			stin	stin	stɪl	stɪl	strʌdə	strɑdə			tit	tit	frʌxt	frɑxt	wɪl	ʋɪl	sit	sit
diareg_om_Ommen	ɑz	ɑs	bei	bei	bytn	byʔn	dʏr	dœ	xlas	xlas					ə	ə	huk	huk	hɒln	hɔln	hyzə	hyzə			ɪs	ɪs	nɛt	nɛʔ	klɛin	klen	kɒrdə	kotə			latər	latər	lœp	lœp	lopm	loʔm	mɛt	mɛ	nʌ	na	ni	nit							ɪn		rutə	rudə	stin	stinə	stɪlə	stɪlə	strʌtə	strɔtə			tit	tit	frʏx	vrœx	wɔl	ʋol	zœt	zʏt
