location	aan	agent	als	beiden	besluit	bij	buiten	daar	dan_1	dat	de_12	door	een_count	een_det	er	even	extra	gerinkel	glas	glaszetter_1	goed	gooien	he	heel	hem	het	hij_2	hoek	houden	huizen	in	ineens	is	jongetje_2	juist	klein	klinkt	korte	krijgen	later	let	loopt_1	lopen	lukt	maar_3	met_1	mevrouw	naar	net	niet	nou	nu	of	om	ontdaan	ook	op	pakken	politieagent	repareren	ruit	ruiten	samen	sneuvelen	staan	stapt	steen	stil	straat	straten	te_1	tijd	toevallig	van_2	veel	vraagt	vrouw	wil_1	ze_1	ziet
Eelde	æ	jyt	ɑz	bɛidn	bəslyt	bi	butn	dʊ	dan	da	də	dʏr	ain	ən	ɛr	eibm	ɛkstra	xərɪŋkəl	xlas	xlʊzəzɛt	xɑud	xʊin	hei	hayl	əm	t	hɛi	hɑuk	hɒdn	huzn	ɪn	inais	ɪs	jɔŋki	jyst	klɛin	klɪŋk	kœrdə		lɔtər	lɛt	lʌp	lɑupm	lʏkt	mɒr	mɛt	frau	nɔ	nɛt	nait	nau	nɑu	ɒf	ɔm	ɔndɔn	ouk	ɔp		jyt	repərɪrn	rut	rutn	sʊmm	snøfəln		stapt	stɑin	stɪl	strʊt	strʊtn	tə	tit	təfaləx	fan	føl	frʊxt	frau	ʋɪl	sə	zʏt
Ermelo	ɑn	pliʃəmɑn	ɑz	ɑləbɛi	bəslyt	bi	bytə	də	dɑn	dɑ		dʏr	ein	ə		ɛfə	ɛkstra	xərɪŋkəl	xlas	xlʊzəzɛtər		smitə	hei		əm	hɛt	i	huk	hauə	hyzə		əneis	ɪs	fɛncə	jyst	klɛin	klɪŋkt		krixə	lɒtər		lʌupt	lɑupə	lœkt	mər	mɛt	frau	nə	nɛt	nit		nɒn	ɒf	ɔm	heiləmlytədun	ɤk	ɔp		pliʃə	makə	ryt	rytn	samə			stɑpt	stei	stɪl	strɔt	strʊtə	tə		tufɑləx	fan		fraxt	frau	ʋɪl	sə	zit
Eys	a	pəlis	wɛnt	ɑlətwɪ	bəʃlyt	bei	butə	dʊ	dan	dʌt	dəʀ	dʏ	e			ɛfə	ækstʀə	çəʀɪŋkəl	çlas	çlasætəʀ	çʊd	wæʀpə	hei		əm	ət	əʀ	ɛk	hɒtə	huzəʀ	ɛn	ʏpɛns	ɪʃ	jʏŋskə	jyst		klɪŋkt	kɒʀtə		latəʀ	læt	lœpt	lopə	lœkt	maʀ	mɛt	fʀɒu	nə	jys	nɪt	nɯ	nʏ	ɒf		çɑnsuəthyskə		ɔp	ʃnɑpə	pəlis	mɑkə	ʀut	ʀutə	samə	vʀɛkə		kʏmə	ʃtei	ʃtɪl	ʃtʀɒət	ʃtʀɒətə	tə	tit	tufɑləç	fən		fʀʊçt	fʀɒu	wʏl	sə	sit
Finsterwolde	æ	axɛnt	az	ɑlbɑidə	bəslut		butn	dʊ	dɛn	dɑ	d	dʏr			də	eibm	ɛkstrə	xərɪŋkəl	xlas	xlasɛtər	xɑud	xɤin			hɒm	t	hɑi	hɑukə	hɒdn		ɪn	ɪnɒis	ɪs		nɛt		klɪŋkt	kœrtə	kriɡŋ	lʊtər	lɛt	lʌpt	lʌupm	lʏkt	mʌr	mɛt	frau	nɒ	nɛd	nɒit		nɑu	ɒf	ɔm	fəsxrɪkt	ɤuk	ɔp	pakŋ	ɑxɛnt	mɒkŋ	rʊm	rɒmm	sʊmm	snøfəln		kɔmt	stɒinə	stɪl	strʊtə	strʊtn	tə	tit	tufaləx	fɑn	føl	frɑxt	frau	ʋɪl	zə	sʏxt
Gavere	ɔp	ʒɑndɑrm	ʊst	ɑlətwiə	bəslɪst	bei	bœitn	dər	tʊs	dʌt	də	dʏr	ɪ	ə	dər			χərɛŋkəl	χlʊs	χlʊsəmʌkər	χɯt	smætn		fri	æm	t	i	huk	pɑkŋ	œzn	œp	ɪnenəkir	ɑs	mɑnəkə	ʃyst	klɛn	klɪŋkt	kœrtn	stækŋ	dərɑχtər	kɛk	lʏpt	løpm	lœkt	mər	mɪt	mɑdɑm	nɑr	ʃyst	nit	nʌ	nɑ	ɒfdɑt	fʏ		ɯk	ɔp	fʌstə	ʃɑndɑrm	mɒkŋ	rœtə	rœtn	typə			stɑpt	stɪn	stɪl	strʊitə	strʊitn	tə	tæt		fɑn		frɒχt	frɑ		zə	zit
Geraardsbergen	ʊn	ʃɑmpætər	ɑst	ɑlətwi					tys	dɑ	də	dʊr		ə		ənbɪcə		χəlɒt	χlɑs	xlʊzəmɑrʃɑn		smɒtn				t	ɛ	uk	hɑn			ɑmənəkir	ɪs							lʊtər		lʏpt	løpm		ma	mɛt	frɑ				nœy		ɒfdɑt	fɒ		ɯk	ɔp		ʒɑmpætər	mʊkən	rɒtə			χɒtkɑpɔt				stɪləkis	strʊtə				lʏkə	fɑn		frʊxt	frɑ	wɑsfɑzɪniʃ		sit
Grijpskerk	a	pəlɪtsi	az	bæidn	bəslyt	bɛi	bytn	dʊ		dʌ	də	dʊr	ei	ə	ə	ebm		xərɪŋkəl	xlas	xlasɛtər	xʊt	xʊin	hei	høl	hɛm	t	hɛi	huk	hɒln	hyzn	ɪn	ɪneis	ɪs	jɔŋkjə	jyst	lʏ	klɪŋkt	kɒrdə	kriɡŋ	lʌtər	lɛt	lɒpt	loupm	lʏkt	mɑr	mɛt	frɑu	na	nɛt	nɪt	nʌ		ɒf		ɔndɔn	ɒk	ɔp	pɑkŋ	pəlitsi	mɒkŋ	rut	rut	sʌmm	snøfəln		stapt	sten	stɪl	strʌt	strɒtn	tə	tit	tufɑləx	fan	føl	frɒxt	frɑu	ʋʏl	zə	sit
Groenlo	ɑn	bɒlə	əs			bei	bytn	dɔ	dan	da	də	dʏʀ	ei	ən	dəʀ	ɛfkəs	ɛkstʀa	xəʀɪŋkəl	xlas	xlɑsɛtəʀ	xʊd	smitə	hɪ			t	i		hɒln	hysəʀ	ɪn	ɪnɛns	ɪs	mɛnəkə	jyst	klɛin	klɪŋk			lʌtəʀ	lɛt	lœp	lopm			mɛt	fʀɒuə	nə	nɛt	net		nɒu	ɒf	ɔm	ɔndʌn		ɔp	pakŋ	bɒlə	mɒkŋ	ʀytə	ʀytn	samm	snøfələn		kʏmp	sten	stɪl	stʀʌtə		tə		tufaləx	fan		fʀœx	fʀɒuə	ʋʏl	sə	sœt
Grolloo	ɑn	axɛt	as	bɛidn	bəslœt	bɛi	bytn	dʌ	dan	da	də	dʏr	ɪ	ən	dər	ebm	ɛkstra	xərɪŋkəl	xlas	xlasɛtər	xud	xʊin	hei	hil		hɛt	ə	huk	hɒln	hyzn	ɪn	ɪnɪs	ɪs	jɔŋki	jyst	klɛin	klɪŋkt	kœrtə	kriɡŋ	lʌtər	lɛt	lʌp	lʌupm	lʏkt	mʌr	mɛt	məfrɑu	nɑ	nɛd	nit	nau	nɑu	ɒf	ɔm	fənslax	ok	ɔp	pɑkŋ	pəlisiɑxɛt	mɑkŋ	ryt	rytn	sɑmm	snøfəln		stɑpt	sten	stɪl	strat	stratn	tə	tit	tʊfaləx	fan	fœl	frʌx	frɑu	wʏl	sə	sœt
Grouw	ʊn	pliʃəmɑn	ɑt	bɑidn	bəslyt	bai	butn	da	dan	dat	də	trɒx	i	ə	dər	ɛfkəs		rɪŋklən	ɡl̴ɛs	ɡl̴ɛsɛtər	ɡut	ɡʊiə	hei		əm	ət	ər	hukə	hɒdn	hyzn	ɪn	ɪninn	ɪs	jɔŋkjə	krɛkt		klɪŋkt	kuɑtə	kræiən	lɛtər		rɪnt	rɪnn	slɑxət	mɑ	mɑi	frɑu	na	krɛkt	nɛt			ɒf		ʊndɪ		ɔp	pakŋ	pliʃəman	mɑitʃə	ryt	rytn	təɡɛrə	ɡɪnstɪkŋ		stapt	sti	stɪl	strɪtə		tə	tit		fan		freixət	frau	ʋɔl	sə	ʃʏxt
Heerewaarden	ʌn	plisi	ɛs	ɑləbæi	bəslœt	bɑi	baytə	dɒ	dɑn	dæ	də	dʏʀ	ein	ə	ə	ɛfə	ɛkstʀa	çəʀɪŋkəl	çlɑs	çlɑzætəʀ	çut	çʊiə	hei		əm	ət	i	uk	hauə	hayzə	ɪn	nɪns	ɪs	mɛnəkə		klɛn		kɒʀtə	kʀæiçə	lʌtəʀ	kɛk	lɒpt	loupə	lʏkt	mɑʀ	mɪt		nʏ	næt	ni	nau	nɑu	ɒf	ɔm		ouk	ɔp	pɑkə	plisi	makə	ʀɒm	ʀɒmə	samə	çɒnkəpɒt		stɑpt	sten	stɪl	stʀʌt	stʀʌtə	tə	tait	tufɑləç	fʌn		fʀɒçt		wɪl	zə	sit
Hoeven	ɑn	pəlisi	ɑls	baidə	bəslɑyt	bai	baytə	dʌ	dɑn	dɑ	də	dʊʀ	ɪn	ə	ɛʀ	ɛfə	ɛkstʀɑ	çəʀiŋkəl	çlɑs	çlɑsəzɛtəʀ	çut	çʊiə	hei	hil	əm	t	i	huk	hɑuə	hayzə	ɪn	ənes	ɪs	mɑnəkə		klɛin	kliŋk	kɒʀtə		lɑtəʀ	lɛt	lɤupt	lɤupə	lʏkt	mɑʀ	met	fʀɑu	na		ni	nɑu	ny	ɒf	ɔm	ɔndʌn	ouk	ɔp	pɑkə	pəlisi	mɑkən	ʀɑyt	ʀɑytə	samə	snəøfələ		stɑpt	stenə	stɪl	stʀɑt		tə	tait	tufɑləç	fɑn	fœl	fʀɑçt	fʀɑu	wɪl	zə	sit
Hollum	an	plisi	ɑls		ʋɪl	bœi	bytə	dɪ	dɑn	dat	də	dʏr	ɪ	ə	ər	ɛfkəs	ɛkstra	ɡərɪŋkəl	ɡlɑs	ɡlazəsɛtər	ɡut	ɡʊiə	hei			ət	i	huk	hauə		ɪn	ənis	ɪs	jɔəcə	nɛt	klɛih	klɪŋkt	kɒrtə		latər	lɛt	loupt	loupə		mar	mɛt	frɑu	na	nɛt	nit	nau	nɑu	ɔf		skrɒkə	ouk	ɔp	pɑkən	pəlisi	makə	ryt	ramə				stɑpt	stin	stɪl	strat	stratə	tə	tit	tufɑləx	fan		fraxt	frɑu	ʋɪl	sə	sit
Horn	an	ɑçænt	æs		bəʃlyt	bi	butə	dʌ	dan	dæ	də	dʊʀ	ein	ɛn	dəʀ	ɑfə	ækstʀə	çəʀɪŋkəl	çlas	çlazəzætəʀ	çʊd	çʊiə	he	hil	əm	əd	əʀ	huk	hɒiə	huzəʀ	ɛn	ɪnɛns	ɪʃ	jʏŋskə	nɛt	klɛin	klɪŋkt	kɒʀtə	kʀiçə	latəʀ	let	lœpt	l̴oupə	lʏkt	maʀ	mət	fʀɒu	nɑ	næt	nɪt	nʊ	nu	ɒf			ouk	ɔp	pɑkə	pliʃeçænt	makə	ʀut	ʀutə	samm	ʃnøfələ		ʃtɑpt	ʃtein	ʃtɪl	ʃtʀɒt	ʃtʀɒtə	tə	tit	tufɑləç	fɑn	fœl	fʀøʃ	fʀɒu	wʏlt	zə	zyt
Houthulst	ɑn	flɪk	ɒt	ɒlətwɪə	bəslyt	bi	bytn		tun	dʌ	də	dʏr	ɪn	ə	dər	əbɪcə		χəriŋkəl	hlɑs	hlʊzəmʌkər		smɪtn	ɛ		æm	t	m	uk	ʊn	yzn	ɛn	ɔməkir	ɪs	juŋəcə	ʃystə	klɪn	kliŋkt	kɒrtn		lɒtər	læt	lɒpt	lopm	lʏkt	mɒ	mæt	frɒumɛs	nɒ	ʃystə	ni	nʏ	ny	ɒfdɑt	fə	ʌntɔn	ok	œp	pɑkŋ	flik	fəmʌkŋ	rytə	rytn	topə	snøfəln		kɔmt	stɪn	stɪlə	strɒtə		tə	tit	tufʌləç	fɑn		frɑχt	frɒumɛs	wɛlt	sə	sit
Huizen		pʊlisi	ɑlz	bæidə	xɪt	bɛi	baytə	dɪ	dɑn	da	də	dʏr	ein	ən	ər	ɛfə		xərɪŋkəl	xlas	xlasɛtər		xʊiə	hei		əm	hɛt	i	huk	ɪnhʏnkraxfɑtə		ɪn	ɪneins	ɪs	jɔŋəcə		klɛin	klɪŋk	kɒrtə	krɛixə	lɪtər	kɛikt	lopt	lopə	lʏkt	mʌr	mɛt		na	nɛt	næit			ɒf		ɔndɪn	ɤuk	ɔp	pɑkə	pəlisi	mɑkə	rɪm	rɪmə	samə	xɪnkɑpɒt			sten	stɪl	strɪt		tə	tɛit		fɑn	fʏl	fraxt		ʋʏl	sə	sit
IJmuiden		pəlitsimɑn				bɛi	bœytə	da	dɑn	dɑ	də		ein	ən		ʋɑt	ɛkstra	xərɪŋkəl	xlɑs	xlɑsɛtər	xut	xɤiə			hɛm	hɛt	hɛi	huk		haysə	ɪn	plɔtsəlɪŋ	ɪs	bɪŋki		klɛin	klɪŋkt	kɒrtə	krɛixə	latər			loupə	lʏkt	mɑr	mɛt	məfrau	nɑ	nɛt	nit			ɒf		hefəxəsxrɔkə		ɔp	pɑkə	ɑxɛnt	makə	ram	ramə	samə	xankəpɒt	stan	stɑpt	stein	stɪl	strat		tə	tɛit	tufɑləx		fɪl	fraxt	məfrau	ʋɪl	sə	sit
IJsselmuiden	ɑn	ɑxɛnt	ʌs	ɑləbai	bəslœt	bei	bytn	dɑ	dɑn	dæ	d	dʏʀ	ɪ		dəʀ	ebm	ækstʀa	xəʀɪŋkəl	xlɑs	xlɑsɛtəʀ	xut	xʊin	hɪi		əm	t	ə	huk	hɒln	hyzn	ɪn	ɪnɪs	ɪs		nɛt			kɑʀtə	kʀiɡŋ	latəʀ	læt	lœp	lʌupm	lʏkt	maʀ	mɛt	fʀɑuə	nə	nɛt	nit	nau	nɑu	ɒf	œm	ɔntdɒn	ok	ɔp	pɑkŋ	plisiɑxɛnt	ʀepəʀɪʀn	ʀytə	ʀytn	samm	snøfəln		kʏmp	sten	stɪl	stʀʌtə	stʀʌtn	tə	tit	tufɑləx	fɑn		fʀœx	fʀɑuə	ʋʏl	sə	sœt
Itegem		pɒlis	ɑs	aləbæ	çʌt		bɔətə	dɒ	dɑn	dɑ	də	dʏr			dər	əbekə			çlɑs	çlɑzəmɑkər		smætə		hɪl		t	m	uk	pakə			ɪnɪs	ɪs	juəskə	ʃyst					lʌtər	kekt	lœpt	lɤpə		mə	mɛt	fra	nə	ʃyst		nɛ	nɑu	ɒfdɑt		hɪləmɑlɑçədɑ		ɔp		pɒlis	mʌkə	rɒət	rɒətə	sɑmə	çɑnkɑpɒt		kɔmt	stɪn	stil	strɑt					fɑn		frʌçt	fra	wɪl		sit
Jubbega	ɑn	pliʃə	ɑs	ɑləbɛi	bəslyt	bai	butn	dɛ	dɑn		də	trɒx	ɪ	ən	ər	eifkəs	ɛkstra	ɡərɪŋkəl		ɡlɛsəsɛtər	ɡut	ɡʊiə				ət	ər	hukə	hɑdn	hyzn	ɪn	ɪis	ɪs	jɔŋkjə	krɛk	lits		kuɑtə		lɛtər	lɛt	rɪnt	rɪnn		mar	mɛi	frau	na	krɛk	nɛt		nə	ɒf	ɔm	srʌkŋ		ɔp		pliʃə	mɑitʃə	ɡlɛs	ɡlɛzn	samm	ɡɪnstɪkŋ	stɪn	rɛnt	sti	stɪl	strɪtə	strɛtn		tiət		fan		freixət	frau	ʋɔl		ʃʏxt
Kampen	ɑn	pəlisi		bɛidn	bəslœts	bi	bytn	dʌ	dɑn	dæ	də		enə	ə	ɛʀ	ibm	ɛkstʀa	xəʀɪŋkəl	xlɑs	xlɒzəkɪʀl	xut	xʊin	hə	hil	həm	ət	i		hɒln	hyzə	ɪn	ɪnes	ɪs	jɔŋxin	jyst	klɛin	klɪŋk	kɒʀtə	kʀiɡŋ	latəʀ			lopm	lʏkt	mæʀ	mɛt	fʀɑuə	nə	jyst	nit			ɒf	ɔm	ɔntdɔn	ok	ɔp	pɑkŋ	pʊlisi	mɒkŋ	ʀytə	ʀytn	samm	snøfəln		stɑpt	stenə	stɪl	stʀʌtə		tə	tit	tufɑləx	fɑn	fʏlə	fʀœx	fʀɑuə	ʋɪl	sə	sit
Kerkrade	a	pəlis	wɛnt	tswɑi	bəʃlyt	bei	busə		dɑ	dɑt	dəʀ	dœʀç	ɪ	ɛ				çəʀɪŋkəl	jlas	jlɑsætsəʀ		wæʀpə			əm	əd	əʀ	ɛk	hʊdə	hysəʀ	ɛn	ɪnɛns	ɪʃ	jʏŋkə	çʀat	klɛin	klɪŋkt	kɒʀtə	kʀi	ʃpidəʀ	pɑst	lʏpt	lofə	lœkt	mɑʀ	mæt	fʀʌu	nɒ	çʀat	nɪt		nun	ɒf	œm	ɛntsɛtst		ɔp	pɑkə	pəlis	mɑkə	ʀut	ʀutə	tsəsɑmə	ʃnøfələ	stʊə	ʃtɑpt	ʃte	ʃtɛl	ʃtʀɔəʃ		tsə	tsit	soufæləç	fan		fʀɒd	fʀʌu	wɒl	sə	zit
Koekange	an	ʋikaxɛnt	ɑlz	bɛidn	bəslœt	bei	bytn	də	dan	da	də	dʏr	i	ən	ə	ibm	ɛkstrə	xərɪŋkəl	xlas	xlasəsɛtər		xʊin	hɪ		əm	t	he	huk	hɒln	hyzn	ɪn	ɪnis	ɪs	jɒxi		klɛin	klɪŋkt	kɒrtə	kriɡŋ	latər		lœp	lopm	lʏkt	mar	mɛt	frɑuə	nə	nɛt	nit			ɒf	œm	ɔntdɔnə		ɔp	pɑkŋ	ʋikaxɛnt	makŋ	rutə	rutn	samm	xɒtkəpɒt		stɑpt	sten	stɪl	strʌtə		tə	tit	tufɑləx	fan		frœx	frɑuə	wɪl	sə	sɛt
Kudelstaart	æn	ɑxɛnt	ɑls	ɑləbɛi	bəslœyt	bɛi	baytə	da	dʌn	dɑt	də	dʊr	e	ən	ɛr	eifə	ɛkstra	xərɪŋkəl	xlɑs	xlɑsɛtər	xut	xɤiə		hɪl	əm	t	hɛi	huk	hɑudən	haysə	ɪn	ɪneins	ɪs	jɔŋəcə		klɛin	klɪŋk	kʊrtə		latər	lɛt	loupt	lɑupən	lʏkt	mar	mɛt	məfrau	na	nɛt	nit		ny	ɒf	ɔm	xəsxrɔkə	ouk	ɔp	pɑkə	pəlitsiɑxɛnt	repɑrɪrə	ram	ramən	samə	snøfələn		stɑpt	stein	rʏstəx	strat	stratən	tə	tɛit	tufɑləx	fɑn	fɪl	fraxt	frau	ʋɪl	sə	sit
Laren	ɑn	ɑxɛnt	as	bɛidə	bəslœt	bi	bytn	dɒ	dan	da	də	dʏr	e	ən	ə	ɛfən		xərɪŋkəl	xlas	xlasɛtər		xʊin	he		əm	həd	ə	hok	hɒln	hyzə	ɪn	ɪnɛns	ɪs	jʏŋskə		klɛin	klɪŋk	kɒrtə	kriɡŋ	latər		lœp	lɔpm	lʏkt	mɑr	mɛt	frɑuə	nə	nɛt	ni	nu	nu	ɒf	œm	hɪlməlfandəʋizə	ok	ɔp	pɑkŋ	pʊlitsiɑxɛnt	makŋ	rutə	rutn	samm	xɒtɑndɪxələ		stapt	sten	stɪl	strʌtə	strʌtə	tə	tit		fan		frœx	frɑuə	ʋɪl	sə	sœt
Leersum	ɔp	ɑxɛnt	ɑs	ɑləbɛi	ʋɪl		baytə	da	dɑn	dɑ	də	dʊr		ən	ə	eifə	ɛkstra	xərɪŋkəl	xlɑs	xlɑsɛtər	xut	xʊiə	hei		əm	hɛt	hɛi	huk	pɑkə		ɪn		ɪs	jɔŋəcə		klɛin	klɪŋkt	kɒrtə	krɛixə	latər	lɛt	lɤupt	lɤupə	lʏkt	ma	mɛt	frɑu	nɑ	nɛt	nit	nau	ny	ɒf		heləmɑlfəslɑx		ɔp	pɑkə	pəlitsiɑxɛnt	makə	rayt	raytə	samə	xanstʏk		kɔmt	stein	stɪl	stra	stratə	tə	tæit	tufɑləx	fɑn	fɪl	fraxt	frɑu	ʋɪl	sə	sit
